date,views,category,temperature,humidity,day_of_week,month,year,is_weekend,is_holiday
2023-01-01,1250,technology,22.5,65.2,0,1,2023,1,1
2023-01-02,980,business,21.8,68.1,1,1,2023,0,0
2023-01-03,1120,sports,20.3,70.5,2,1,2023,0,0
2023-01-04,1340,technology,19.7,72.3,3,1,2023,0,0
2023-01-05,1450,entertainment,21.2,69.8,4,1,2023,0,0
2023-01-06,1680,business,22.8,66.4,5,1,2023,0,0
2023-01-07,2100,sports,24.1,62.3,6,1,2023,1,0
2023-01-08,1890,technology,23.5,64.7,0,1,2023,1,0
2023-01-09,1560,business,22.1,67.2,1,1,2023,0,0
2023-01-10,1430,sports,20.8,71.1,2,1,2023,0,0
2023-01-11,1380,entertainment,19.5,73.8,3,1,2023,0,0
2023-01-12,1520,technology,21.6,68.9,4,1,2023,0,0
2023-01-13,1780,business,23.2,65.1,5,1,2023,0,0
2023-01-14,2250,sports,25.4,60.8,6,1,2023,1,0
2023-01-15,1980,technology,24.2,63.5,0,1,2023,1,0
2023-01-16,1620,business,22.7,66.8,1,1,2023,0,0
2023-01-17,1480,sports,21.3,70.2,2,1,2023,0,0
2023-01-19,1420,entertainment,20.1,72.6,3,1,2023,0,0
2023-01-20,1580,technology,22.4,67.5,4,1,2023,0,0
2023-01-21,1850,business,23.8,64.9,5,1,2023,0,0
2023-01-22,2320,sports,26.1,59.7,6,1,2023,1,0
2023-01-23,2050,technology,24.8,62.8,0,1,2023,1,0
2023-01-24,1720,business,23.1,66.3,1,1,2023,0,0
2023-01-25,1590,sports,21.9,69.7,2,1,2023,0,0
2023-01-26,1460,entertainment,20.4,72.1,3,1,2023,0,0
2023-01-27,1630,technology,22.6,67.8,4,1,2023,0,0
2023-01-28,1920,business,24.3,65.2,5,1,2023,0,0
2023-01-29,2450,sports,27.2,58.4,6,1,2023,1,0
2023-01-30,2180,technology,25.6,61.9,0,1,2023,1,0
2023-01-31,1890,business,23.7,66.1,1,1,2023,0,0
2023-02-01,1750,sports,22.2,68.9,2,2,2023,0,0
2023-02-02,1620,entertainment,20.8,71.4,3,2,2023,0,0
2023-02-03,1780,technology,23.1,67.3,4,2,2023,0,0
2023-02-04,2050,business,24.7,64.6,5,2,2023,0,0
2023-02-05,2580,sports,28.3,57.2,6,2,2023,1,0
2023-02-06,2320,technology,26.4,60.8,0,2,2023,1,0
2023-02-07,1980,business,24.5,65.7,1,2,2023,0,0
2023-02-08,1850,sports,22.8,68.3,2,2,2023,0,0
2023-02-09,1720,entertainment,21.2,70.8,3,2,2023,0,0
2023-02-10,1890,technology,23.8,66.9,4,2,2023,0,0
2023-02-11,2180,business,25.6,63.8,5,2,2023,0,0
2023-02-12,2750,sports,29.4,55.9,6,2,2023,1,0
2023-02-13,2480,technology,27.1,59.6,0,2,2023,1,0
2023-02-14,2120,business,25.2,64.4,1,2,2023,0,0
2023-02-15,1980,sports,23.4,67.1,2,2,2023,0,0
2023-02-16,1850,entertainment,21.9,70.2,3,2,2023,0,0
2023-02-17,2020,technology,24.3,66.4,4,2,2023,0,0
2023-02-18,2320,business,26.1,63.2,5,2,2023,0,0
2023-02-19,2920,sports,30.2,54.7,6,2,2023,1,0
2023-02-20,2650,technology,28.3,58.3,0,2,2023,1,0
2023-02-21,2280,business,26.4,63.9,1,2,2023,0,0
2023-02-22,2150,sports,24.6,66.5,2,2,2023,0,0
2023-02-23,2020,entertainment,22.8,69.4,3,2,2023,0,0
2023-02-24,2180,technology,25.1,65.8,4,2,2023,0,0
