date,views,likes,comments,shares,category,upload_time
2023-01-01,78335,3286,1095,188,Entertainment,00:00:00
2023-01-02,28958,714,170,254,Tech,08:00:00
2023-01-03,37601,775,735,319,Education,14:00:00
2023-01-04,30644,808,236,81,Education,03:00:00
2023-01-05,35924,1183,336,233,Tech,01:00:00
2023-01-06,15909,384,149,68,Tech,12:00:00
2023-01-07,64797,1684,823,410,Gaming,05:00:00
2023-01-08,65802,1407,928,166,Entertainment,14:00:00
2023-01-09,26293,1065,305,55,Tech,13:00:00
2023-01-10,22369,779,123,205,Education,00:00:00
2023-01-11,32482,953,415,192,Education,14:00:00
2023-01-12,24143,616,471,192,Tech,06:00:00
2023-01-13,48973,1109,388,68,Sports,10:00:00
2023-01-14,45782,1362,495,157,Gaming,11:00:00
2023-01-15,23951,680,314,54,Tech,09:00:00
2023-01-16,45016,1983,275,444,Tech,01:00:00
2023-01-17,31115,627,536,229,Tech,04:00:00
2023-01-18,158644,6642,2628,264,Music,02:00:00
2023-01-19,75102,3446,1077,298,Entertainment,18:00:00
2023-01-20,74390,1629,718,292,Entertainment,19:00:00
2023-01-21,92309,4303,1115,191,Entertainment,16:00:00
2023-01-22,71556,2962,1174,433,Gaming,06:00:00
2023-01-23,33696,1202,384,41,Tech,03:00:00
2023-01-24,63313,1471,346,425,Tech,04:00:00
2023-01-25,42279,1996,369,198,Tech,13:00:00
2023-01-26,20712,883,174,35,Tech,10:00:00
2023-01-27,24918,1193,426,166,Tech,08:00:00
2023-01-28,80685,3723,1376,216,Music,20:00:00
2023-01-29,50852,2248,937,196,Gaming,15:00:00
2023-01-30,125889,2933,1059,609,Entertainment,07:00:00
2023-01-31,44836,906,567,213,Tech,08:00:00
2023-02-01,153572,4094,1043,620,Music,22:00:00
2023-02-02,98909,3517,1537,422,Entertainment,16:00:00
2023-02-03,24736,1215,480,80,Education,15:00:00
2023-02-04,27283,778,151,176,Gaming,00:00:00
2023-02-05,30405,1066,175,106,Tech,08:00:00
2023-02-06,34448,838,425,340,Tech,21:00:00
2023-02-07,30937,843,466,242,Education,09:00:00
2023-02-08,148774,4616,2154,997,Entertainment,11:00:00
2023-02-09,101995,3679,648,868,Music,14:00:00
2023-02-10,42005,891,582,298,Gaming,04:00:00
2023-02-11,67574,1385,856,205,Entertainment,14:00:00
2023-02-12,61283,2495,661,577,Entertainment,12:00:00
2023-02-13,115638,2789,1169,233,Entertainment,10:00:00
2023-02-14,46464,2068,619,267,News,04:00:00
2023-02-15,83546,2277,534,758,Entertainment,02:00:00
2023-02-16,74565,2249,763,561,Gaming,03:00:00
2023-02-17,117706,5521,2154,943,Entertainment,17:00:00
